userName,score,at,content
Ferry Yulianto,1,2026-04-14 03:34:44,"Setelah ada update pembaharuan,aplikasi menjadi busuk & nyusahin banyak orang Mungkin yg punya kebijakan dan pihak developer pengen ngumpulin dosa dari mempersulit pengajuan klaim jkp & punya slogan ""Kalau bisa di persulit kenapa harus di permudah"" Dampak dari system yang banyak masalah akhirnya banyak korban nya yg gagal klaim dan hangus. Duitnya di kemanain ?? Semoga nanti ada audit dan pertanggung jawaban soal case ini."
ERWAN RIYANTO,2,2026-04-14 01:35:26,"tolong di perbaiki aplikasinya tidak berjalan normal pada pencarian kerja ,loading tidak selesai"" ,org mau cari kerja gk bisa"
Riski Janwar,1,2026-04-13 04:36:38,keren kaki apk ini
Yemico Stefanie,2,2026-04-13 03:49:57,sistem nya error terus tolong donk di perbaiki dan memudahkan kita yg membutuhkan karena terkena PHK GAGAL TERUS DAN ERROR TERUS.
Kiki Haryati,1,2026-04-13 02:39:02,parah ih aplikasinya... udah Tahap 2 pas tanggal nya malah ga bisa... coba di keluarin pas Log in lagi malah ga bisa... padahal udah sesuai email sama passwordnya.. sengaja banget sih ini bikin susah aja
Yogi Suhandika,1,2026-04-13 02:23:18,baru 4 kali klaim sudah di non aktifkan gak sesuai banget tiba² aplikasinya nik tidak terdaftar padahal sudah pernah klaim
ToNey 988,1,2026-04-13 02:23:10,"baru terima manfaat bulan ke 4, tiba tiba status jkp nggak aktif.kok aneh yaa ? tlp call center pun sibuk terus.."
Nur Asikin,1,2026-04-13 02:22:11,"aplikasi nyusahin, mau buat akun aja ga bisa, masa NIK saya tidak terdaftar, udah saya ulang lebih dari 3x masih ga bisa, saya pindah ke web, server nya malah error. ini kek nya yang bikin apk setelah apk nya jadi ga diurusin"
Sonansyah sona,3,2026-04-13 02:12:25,kasih bintang 3 dulu mohon sisteam nya di perbaikin lagi agar pengguna jkp tidak ada tergendala lain untuk mengajukanya.kalau sisteam sudah tidak eror saya kasih bintang 5.
Nino,1,2026-04-13 01:28:37,"mau cetak AK-1. mala Nik tidak terdaftar padahal sudah bisa login dan sudah sesuai dengan domisili,"
aji rahmat idayat,1,2026-04-13 00:21:20,bug nya diperbaiki lah
Boni Fasius,5,2026-04-12 23:31:09,oke
Hendra Hermawan,5,2026-04-12 23:28:51,klaim ke 5 JHT ko eror.....
Sang Haji,1,2026-04-12 21:07:13,sumpah parah ini
Roby Nopiansyah,2,2026-04-12 18:09:28,"pencairan bulan ke 6 belum cair ,kok malah gak ada"
Gaming dan Tutorial,1,2026-04-12 17:07:58,"tolongg, aplikasinya pas di buka cuma item doang, ga ada gambar apa apa, gimana inii"
Angga Arga Dinata,5,2026-04-12 16:15:04,bagus
Windi Renaldi,1,2026-04-12 15:47:16,aplikasi bekerja sangat lambat server jelek
Marruyah Salvana,1,2026-04-12 15:15:28,kecewa bgt sama aplikasi ini makin kesini kayak makin dipersulit mau bikin akun aja ga bisaaa
Muhamad Rasya Nurhidayat,1,2026-04-12 14:45:32,saya tidak bisa masuk atau login 502 terus bagaimana ini?
Rian Maulana,1,2026-04-12 14:26:37,"tolong perbaiki aplikasinya.. mau buka aplikasi aja susah.. lag, stuk di layar awal.."
03. Aliena Eka Wulandari,1,2026-04-12 14:00:39,"Setelah di download aplikasi nya error, tidak bisa daftar akun, tolong segera diperbaiki"
tamba,1,2026-04-12 12:32:12,heran setelah saya melihat dan ulasan saya masih penasaran untuk mencoba dan ternyata bener dari beberapa ulasan belum pernah mendaftar baru pertama kali ketika mencoba NIK sudah terdaftar kasih saran min letak kesalahannya dimana
AL Fatih,1,2026-04-12 11:22:16,"ini aplikasi semangkin lama semangkin membuat muak aja,,,"
QreN 23,1,2026-04-12 07:15:33,gak bisa claim jkp alasan tidak layak. apaan kek gini baru ngisi tanggal phk tanggal masa kontrak udah di bilang gak layak
Andi Amri,5,2026-04-12 03:40:42,sangat membantu
Mustapqil Hasbi,1,2026-04-12 03:37:30,"mau daftar aja, Unknown eror, padahal semua nya udah pas, tapi masih aja eror, kalo bikin server yang bagus lah, di web juga sama , eror, cam mana nya"
ramus assahdat21,5,2026-04-12 03:05:39,bagus sekali
Ulvi Isnaini,1,2026-04-11 18:06:12,"apknya sering error kalau di pake, padahal apk dari pemerintah resmi tapi banyak banget kendalanya. buka dari apknha langsung juga malah diarahin ke webnya, webnya pun sama suka error. tolong lebih diperhatikan lagi untuk perbaikannya"
Muhamad Amir,2,2026-04-11 15:12:58,error dan sulit di akses
Misteri dunia,5,2026-04-11 15:03:46,sangat membantu
Adam Firdaus Pramana Putra,1,2026-04-11 05:07:05,"banyak bug, apk masih sering eror"
ilal ahonk,1,2026-04-10 23:27:17,apk ga guna buang² anggaran
Bagaskara Satria,3,2026-04-10 10:25:39,"Aplikasi ini memiliki potensi besar sebagai jembatan antara pencari kerja dan dunia industri. Namun, di tengah realitas persaingan kerja yang semakin ketat, fitur dan ketersediaan lowongan masih perlu ditingkatkan secara signifikan. Jumlah lulusan D3 dan S1 terus bertambah setiap waktu, tetapi variasi lowongan yang tersedia cenderung terbatas dan kurang relevan, terutama bagi bidang Ekonomi, Kewirausahaan, serta sejenisnya. 🙏🙏🙏😊"
Imam Santoso,3,2026-04-10 09:02:13,"tolong diperbaiki, untuk rekomendasi lowongan tidak bisa di ekplor, saat diklik cuma loading saja"
Iqbal Rizki faturahman,1,2026-04-09 11:07:53,tidak dapat mengakses loker tolong perbaiki aplikasinya
Husnul Paranita,1,2026-04-09 07:50:51,loginnya ribet
Arif New#,1,2026-04-09 07:19:26,gimana sih orang' dah login o malah keluar sendiri pas mau masuk lagi padahal dah masuk buat akun malah logout sendiri lgi perbaiki
Rosanah,5,2026-04-09 05:53:48,ini cara apply CV nya gmn
